"","code_muni","ICB","populacao","qtd_empresas","area","disponibilidades","op_cred","emprestimos","fin","fin_agricultura_inv","fin_pecuaria_inv","fin_agricultura_com","fin_pecuaria_com","fin_agroindustrial","fin_imobiliarios","outras_op_cred","outros_cred","arr_mercantial","provisao_arr_mercantil","provisao_de_credito","ativos","depositos","poupanca","depositos_inter","relacoes_interfinanceiras","resultado","PLP","PLB","ICO","densidade_demografica","densidade_empresarial"
"1","1100015",0.86226782868814,64482,1.26283179077023e-320,21201,4161988,323759143,27,37013749,314512,11086942,-3009853,0,0,0,0,441511336,26540601,0,17574677,0,300296926,0,0,25209595,0,1,0.927531878227142,0.747761894335078,3.04146030847602,0
"2","1100023",0.565711396575242,677831,1.4421776202106e-319,30989,11766628,1224987742,89,369742250,1042597,46791646,-16253526,0,0,0,0,2152288989,242585315,0,127125634,2490,1303554231,0,0,127123283,0,1,1.06413655117212,0.617794188950642,21.8732776146375,4.94065645841247e-324
"3","1100031",NA,5351,1.06224113855868e-321,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.07229832572298,0
"4","1100049",0.497233802527802,521322,1.23081633691971e-319,22758,7899674,488439165,23,307058823,1117764,37843267,-23167941,0,0,0,0,1153332453,152337936,0,81012749,200,509399758,0,0,89952651,0,1,1.04291341583962,0.546603087994984,22.9071974690219,4.94065645841247e-324
"5","1100056",0.515104539806688,63560,1.3774550206054e-320,11132,5568080,547569771,0,30861624,63182,9061687,-1999349,0,0,0,0,722813439,37162478,0,42684467,0,535871271,0,0,34289698,0,1,0.978635599297902,0.824315596122892,5.7096658282429,0
"6","1100064",0.775544887665127,46989,8.98211344139386e-321,4353,6627567,225343458,0,19361037,216074,8474342,-2277710,0,0,0,0,350424764,21484182,0,20992271,0,198569903,0,0,18120830,0,1,0.881187786689596,0.78223075752543,10.7946243969676,0
"7","1100072",NA,7519,1.03259719980821e-321,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.45718954248366,0
"8","1100080",1,12627,1.9021527364888e-321,4987,1959825,171636982,0,78355,0,3150472,0,0,0,0,0,216368198,709395,0,5148796,0,189863289,0,0,11199199,0,1,1.10619102472916,0.964782330353563,2.53198315620614,0
"9","1100098",0.860736271608506,58828,1.10473078410103e-320,9036,2999682,75373713,31,37424093,86315,6802576,-1513361,0,0,0,0,163594907,17769797,0,9973035,0,73901778,0,0,12225740,0,1,0.980471507354295,0.567729117225708,6.510402833112,0
"10","1100106",0.527194589013173,157548,2.04938429894949e-320,99428,8111971,166373619,14,31753043,54879,14410488,-7822510,0,0,0,0,415457319,40930522,0,23505512,150,250425001,0,0,33009224,0,1,1.5051965720599,0.717113323276105,1.58454358933097,0
"11","1100114",0.560952742096772,252955,4.58245886517756e-320,14720,7226248,713760240,308,146065815,603997,21204739,-12779218,0,0,0,0,1151945384,66324340,0,68300681,3990,717663707,0,0,62828789,0,1,1.00546887705597,0.717513576347844,17.1844429347826,4.94065645841247e-324
